source,case_id,time,loss,output_increment_l2,max_depth_gram_increment_fro
PDE,C4,1.72,3.76469021878713e-05,1.0233434575676923,0.47851616641103023
PDE,C4,1.76,2.9503168539335806e-05,1.0243376521150138,0.4792944767670523
PDE,C4,1.8,2.3119522087588514e-05,1.025217854847312,0.47998380211527236
PDE,C4,1.84,1.8116162049363302e-05,1.025997056413538,0.4805942237831637
PDE,C4,1.8800000000000001,1.4195034477088612e-05,1.0266867847042151,0.4811347013911764
PDE,C4,1.92,1.1122305775074558e-05,1.0272972656766128,0.4816131931584659
PDE,C4,1.96,8.714572081890733e-06,1.0278375673500189,0.48203676430624026
PDE,C4,2.0,6.828015045702303e-06,1.0283157285429891,0.4824116845076578
PDE,C4,2.04,5.349879219069332e-06,1.0287388738212164,0.4827435153135674
PDE,C4,2.08,4.1917773031653855e-06,1.0291133160171881,0.4830371884473463
PDE,C4,2.12,3.2844334660925637e-06,1.0294446475747374,0.4832970758152229
PDE,C4,2.16,2.5735573704889544e-06,1.0297378218657476,0.48352705202522855
PDE,C4,2.2,2.016606752697006e-06,1.0299972255244263,0.48373055015137306
PDE,C4,2.24,1.5802479217116676e-06,1.030226742748005,0.4839106114222052
PDE,C4,2.2800000000000002,1.238364213794954e-06,1.030429812422197,0.4840699294562261
PDE,C4,2.32,9.704945034284269e-07,1.0306094788455662,0.4842108896118372
PDE,C4,2.36,7.606091301295321e-07,1.030768436749353,0.48433560396734904
PDE,C4,2.4,5.961504825641922e-07,1.030909071238101,0.4844459423976403
PDE,C4,2.44,4.6728112010476323e-07,1.03103349321146,0.484543560168386
PDE,C4,2.48,3.662946055494856e-07,1.0311435707685324,0.48462992242670017
PDE,C4,2.52,2.871538815880202e-07,1.0312409570426857,0.4847063259283468
PDE,C4,2.56,2.2512960884662667e-07,1.0313271148665157,0.48477391830638883
PDE,C4,2.6,1.7651683771342333e-07,1.0314033386232448,0.4848337151540455
PDE,C4,2.64,1.384130586372062e-07,1.0314707736018134,0.48488661516548215
PDE,C4,2.68,1.0854434100035892e-07,1.0315304331379826,0.4849334135520034
PDE,C4,2.72,8.512914530107249e-08,1.0315832137924634,0.484974813927525
